session_id,player_id,game_id,session_date,duration,amount_spent
1,183,245,2025-01-28,58,14.09
2,119,212,2025-01-31,182,17.15
3,156,230,2025-01-19,223,9.65
4,104,223,2025-01-28,139,3.83
5,114,219,2025-01-04,165,10.8
6,135,226,2025-01-24,65,4.37
7,192,227,2025-01-07,38,11.19
8,115,231,2025-01-02,120,4.6
9,143,203,2025-01-05,297,4.62
10,181,224,2025-01-09,290,0.3
11,103,230,2025-01-25,185,16.52
12,156,234,2025-01-17,158,0.66
13,123,249,2025-01-23,189,4.31
14,184,221,2025-01-02,201,2.73
15,150,226,2025-01-22,230,2.2
16,136,202,2025-01-28,291,18.94
17,102,242,2025-01-31,182,7.15
18,184,218,2025-01-06,212,11.18
19,169,206,2025-01-29,82,1.51
20,147,220,2025-01-05,90,15.29
21,178,205,2025-01-08,212,18.53
22,123,238,2025-01-01,233,19.79
23,136,244,2025-01-10,152,12.01
24,182,210,2025-01-25,200,7.14
25,155,239,2025-01-14,80,16.55
26,137,218,2025-01-02,34,17.54
27,144,205,2025-01-09,242,6.72
28,147,206,2025-01-20,247,10.92
29,109,216,2025-01-30,273,18.88
30,114,248,2025-01-01,236,7.44
31,158,223,2025-01-20,202,16.73
32,198,240,2025-01-19,81,11.21
33,184,241,2025-01-28,43,15.19
34,197,210,2025-01-30,83,6.33
35,139,228,2025-01-19,192,17.0
36,147,217,2025-01-10,32,3.11
37,114,247,2025-01-28,95,6.79
38,119,226,2025-01-12,134,12.45
39,144,201,2025-01-13,280,19.58
40,173,216,2025-01-16,209,5.66
41,102,250,2025-01-24,148,19.24
42,164,212,2025-01-20,261,16.35
43,153,211,2025-01-17,131,4.41
44,167,226,2025-01-07,252,10.29
45,173,210,2025-01-07,232,7.5
46,103,206,2025-01-17,280,19.14
47,135,228,2025-01-05,221,2.12
48,150,239,2025-01-25,158,4.8
49,128,240,2025-01-09,171,2.21
50,147,246,2025-01-19,288,8.61
51,195,242,2025-01-25,210,7.86
52,146,219,2025-01-04,100,18.55
53,180,233,2025-01-03,69,14.67
54,172,248,2025-01-16,236,3.47
55,186,212,2025-01-25,65,14.48
56,107,221,2025-01-06,155,15.22
57,160,245,2025-01-17,133,18.69
58,143,246,2025-01-15,266,3.21
59,126,204,2025-01-12,111,5.8
60,174,249,2025-01-03,88,6.14
61,138,239,2025-01-18,66,0.95
62,112,217,2025-01-10,133,17.01
63,145,246,2025-01-17,233,10.43
64,163,246,2025-01-30,242,10.32
65,125,212,2025-01-10,237,2.71
66,150,229,2025-01-02,115,6.93
67,184,244,2025-01-14,171,9.63
68,198,222,2025-01-07,180,11.8
69,148,228,2025-01-20,167,3.34
70,155,240,2025-01-01,253,16.72
71,147,242,2025-01-23,281,17.6
72,168,235,2025-01-22,176,11.46
73,194,244,2025-01-19,265,5.61
74,170,209,2025-01-15,161,18.73
75,144,247,2025-01-03,265,18.51
76,116,242,2025-01-01,86,10.25
77,189,234,2025-01-15,254,18.97
78,184,228,2025-01-12,265,15.79
79,110,207,2025-01-21,58,10.31
80,150,228,2025-01-23,113,9.31
81,172,225,2025-01-19,154,6.59
82,200,221,2025-01-09,297,2.95
83,189,230,2025-01-22,290,16.41
84,129,227,2025-01-09,97,5.37
85,119,229,2025-01-05,94,3.15
86,162,242,2025-01-30,228,2.8
87,145,240,2025-01-31,47,12.87
88,135,234,2025-01-26,139,12.39
89,139,232,2025-01-07,130,8.58
90,163,246,2025-01-08,221,18.23
91,149,204,2025-01-24,223,15.29
92,190,239,2025-01-22,165,17.73
93,185,220,2025-01-17,238,10.35
94,108,219,2025-01-13,104,6.82
95,193,205,2025-01-03,94,14.64
96,156,228,2025-01-08,108,9.12
97,108,247,2025-01-25,45,18.3
98,161,247,2025-01-17,124,19.82
99,169,216,2025-01-13,135,17.84
100,107,231,2025-01-03,174,10.76
